,sentence
76,"Bos output: ['Bei Aktualisierung 13', ' Koordinierten Bevölkerungsvorausberechnung Basis tatsächlichen Ergebnisse Jahres 2015 ergab Bevölkerungszahl 83', '450', '000 Jahr 2020 '] ### Input: Bei einer Aktualisierung der 13. Koordinierten Bevölkerungsvorausberechnung auf Basis der tatsächlichen Ergebnisse des Jahres 2015 ergab sich eine Bevölkerungszahl von 83.450.000 im Jahr 2020 . EOS"
77,"Bos output: ['In Bayern sowie Saarland wurde Traditionsgründen grün/silberne Lackierung beibehalten', ' Seit Mitte September 2016 Bayern Saarland blau/silberne Streifenwagen eingesetzt'] ### Input: In Bayern sowie im Saarland wurde aus Traditionsgründen die grün/silberne Lackierung beibehalten. Seit Mitte September 2016 werden auch in Bayern und im Saarland blau/silberne Streifenwagen eingesetzt. EOS"
78,"Bos output: ['Die genaue Organisation Polizei historischen Hintergrund, insbesondere Besatzungszeit, betrachtet werden', ' Besonders Ländern französischen Besatzungszone Stellung allgemeinen Polizei besonders stark', ' So Beispiel Rheinland-Pfalz 1992 Bürgermeister Polizeivollzugsdienst gegenüber weisungsbefugt ', ' Generell Trennung mehr weniger stark ausgeprägt; beispielsweise Nordrhein-Westfalen stark', ' Die sog', ' Ordnungsbehörden vollkommen Polizeivollzugsdienst getrennt ', ' Es gelten jeweils unterschiedliche Gesetze ', ' Dagegen Baden-Württemberg Sachsen Trennung weit weniger stark', ' Die Polizeiverwaltungsbehörden generell Polizeiaufgaben zuständig, Polizeivollzugsdienst ausführendes Organ Situationen, denen sofort gehandelt muss, zuständig '] ### Input: Die genaue Organisation der Polizei muss vor dem historischen Hintergrund, insbesondere der Besatzungszeit, betrachtet werden. Besonders in den Ländern der französischen Besatzungszone ist die Stellung der allgemeinen Polizei besonders stark. So war zum Beispiel in Rheinland-Pfalz bis 1992 der Bürgermeister dem Polizeivollzugsdienst gegenüber weisungsbefugt . Generell ist die Trennung aber mehr oder weniger stark ausgeprägt; so ist sie beispielsweise in Nordrhein-Westfalen sehr stark. Die sog. Ordnungsbehörden sind vollkommen vom Polizeivollzugsdienst getrennt . Es gelten jeweils unterschiedliche Gesetze . Dagegen ist in Baden-Württemberg und Sachsen die Trennung weit weniger stark. Die Polizeiverwaltungsbehörden sind generell für die Polizeiaufgaben zuständig, der Polizeivollzugsdienst ist ihr ausführendes Organ und für Situationen, in denen sofort gehandelt werden muss, zuständig . EOS"
79,"Bos output: ['Mit 1984 entwickelten DNS wurde möglich, ganzen Welt Rechner Menschen merkbaren Namen anzusprechen'] ### Input: Mit dem 1984 entwickelten DNS wurde es möglich, auf der ganzen Welt Rechner mit von Menschen merkbaren Namen anzusprechen. EOS"
80,"Bos output: ['Einschneidend stellte Sputnik-Schock 1957 Bildungswesen westlichen Staaten Frage – Deutschland sprach Georg Picht 1964 angeblichen „Bildungskatastrophe“ Modernisierungsdefizit inhaltlicher sozialer Hinsicht', ' Andere Ralf Dahrendorf kritisierten fehlende Erziehung demokratischen Bürgern', ' Für zweite industrielle Revolution galten mehr besser qualifizierte Absolventen zwingend erforderlich', ' Intensive Reformdiskussionen ließen Deutschen Bildungsrat entstehen, Strukturplan deutsche Bildungs- Erziehungswesen maßgebend wurde', ' Die Bund-Länder-Kommission Bildungsplanung Forschungsförderung legte 1973 ersten Bildungsgesamtplan vor, Grundlage Auf- Ausbau Bildungswesens stattfinden sollte', ' Er ging schon Verabschiedung parteipolitischen Streit Gesamtschule unter, 1980er Jahren stagnierten bildungspolitischen Bemühungen wegen Kosten', ' Bei Integration neuen ostdeutschen Bundesländer 1990 wurden westdeutschen Strukturen geringen Abweichungen Osten übertragen'] ### Input: Einschneidend stellte der Sputnik-Schock 1957 das Bildungswesen aller westlichen Staaten in Frage – in Deutschland sprach Georg Picht 1964 von einer angeblichen „Bildungskatastrophe“ und einem Modernisierungsdefizit in inhaltlicher und sozialer Hinsicht. Andere wie Ralf Dahrendorf kritisierten die fehlende Erziehung zu demokratischen Bürgern. Für die zweite industrielle Revolution galten mehr und besser qualifizierte Absolventen als zwingend erforderlich. Intensive Reformdiskussionen ließen unter anderem den Deutschen Bildungsrat entstehen, dessen Strukturplan für das deutsche Bildungs- und Erziehungswesen maßgebend wurde. Die Bund-Länder-Kommission für Bildungsplanung und Forschungsförderung legte 1973 den ersten Bildungsgesamtplan vor, auf dessen Grundlage der Auf- und Ausbau des Bildungswesens stattfinden sollte. Er ging aber schon bei der Verabschiedung im parteipolitischen Streit vor allem um die Gesamtschule unter, in den 1980er Jahren stagnierten die bildungspolitischen Bemühungen auch wegen der Kosten. Bei der Integration der neuen ostdeutschen Bundesländer nach 1990 wurden die westdeutschen Strukturen mit geringen Abweichungen auf den Osten übertragen. EOS"
81,"Bos output: ['Der Bundestag machte 1991 Berlin Hauptstadt, Regierung Parlament 1999 zogen ', ' Nach kurzem Wiedervereinigungboom 1990er Jahre wirtschaftlicher Stagnation, Massenarbeitslosigkeit „Reformstau“ geprägt', ' Insbesondere neuen Länder entwickelten Einführung Marktwirtschaft nicht schnell erhofft ', ' 1991 1993 kam Welle Ausschreitungen Asylbewerber', ' Erst 2000er-Jahren stabilisierten neuen Länder sozial wirtschaftlich'] ### Input: Der Bundestag machte 1991 Berlin zur Hauptstadt, in die Regierung und Parlament 1999 zogen . Nach kurzem Wiedervereinigungboom waren die 1990er Jahre von wirtschaftlicher Stagnation, Massenarbeitslosigkeit und „Reformstau“ geprägt. Insbesondere die neuen Länder entwickelten sich nach der Einführung der Marktwirtschaft nicht so schnell wie erhofft . 1991 bis 1993 kam es zu einer Welle von Ausschreitungen gegen Asylbewerber. Erst in den 2000er-Jahren stabilisierten sich die neuen Länder sozial und wirtschaftlich. EOS"
82,"Bos output: ['Bei Olympischen Spielen errangen indische Sportler insgesamt 28 Medaillen', ' Indien Hockey-Nationalmannschaft 1928 1964 unangefochten dominierend; 8 Spielen gewann 7-mal Gold Silber', ' Als einziger Einzelsportler errang Abhinav Bindra weitere Goldmedaille Land', ' Norman Pritchard, Khashaba Jadhav, Leander Paes, Karnam Malleswari, Rajyavardhan Singh Rathore, Sushil Kumar Vijender Kumar gewannen ebenfalls Medaillen Indien'] ### Input: Bei Olympischen Spielen errangen indische Sportler insgesamt 28 Medaillen. Indien war mit seiner Hockey-Nationalmannschaft von 1928 bis 1964 unangefochten dominierend; bei diesen 8 Spielen gewann man 7-mal Gold und einmal Silber. Als einziger Einzelsportler errang Abhinav Bindra eine weitere Goldmedaille für das Land. Norman Pritchard, Khashaba Jadhav, Leander Paes, Karnam Malleswari, Rajyavardhan Singh Rathore, Sushil Kumar und Vijender Kumar gewannen ebenfalls Medaillen für Indien. EOS"
83,"Bos output: ['Das Wort Polizei entstammt griechischen „politeia“, worunter Griechen gesamte weltliche Ordnung griechischen Stadtstaates verstanden', ' Daran anknüpfend „Polizey“ ausgehenden Mittelalter geordnete Zustand Staatswesens hierfür notwendigen Maßnahmen weltlichen Herrschaft', ' Der Begriff „Polizey“ umfasste gesamte damalige Staatsverwaltung'] ### Input: Das Wort Polizei entstammt dem griechischen „politeia“, worunter die Griechen die gesamte weltliche Ordnung des griechischen Stadtstaates verstanden. Daran anknüpfend war „Polizey“ im ausgehenden Mittelalter der geordnete Zustand des Staatswesens und die hierfür notwendigen Maßnahmen der weltlichen Herrschaft. Der Begriff „Polizey“ umfasste die gesamte damalige Staatsverwaltung. EOS"
84,"Bos output: ['Ab 6', ' Jahrhundert v', ' Chr', ' entfaltete Buddhismus, rund 500 Jahre lang neben Hinduismus maßgebliche Geistesströmung Indiens darstellte', ' Im 4', ' Jahrhundert v', ' Chr', ' entstand Maurya-Reich erstmals indisches Großreich, Ashoka fast gesamten Subkontinent beherrschte', ' Ashoka wandte zahlreichen Eroberungszügen Buddhismus zu, eigenen Land Sri Lanka, Südostasien Mittleren Osten verbreiten suchte', ' Im 3', ' Jahrhundert v', ' Chr', ' blühten Prakrit-Literatur tamilische Sangam-Literatur südlichen Indien auf', ' Während Zeit herrschten südlichen Indien drei tamilischen Dynastien Chola, Pandya Chera', ' Nach Tod Ashoka zerfiel Maurya-Reich allmählich erneut zahllose Kleinstaaten, erst 4', ' Jahrhundert n', ' Chr', ' Gupta Großreich Nordindien geeint konnten, deren Reich frühen 6', ' Jahrhundert infolge Angriffe Hunas unterging', ' Mit Buddhismus übte Indien wesentlichen kulturellen Einfluss gesamten Bereich Zentral- Ostasien aus', ' Die Ausbreitung Hinduismus Buddhismus Indochina heutige Indonesien prägte Geschichte Kultur Länder', ' Als letzter großer Förderer Buddhismus Indien gilt Harshavardhana, Herrschaft Nordindien 7', ' Jahrhunderts Übergang indischen Mittelalter markiert'] ### Input: Ab dem 6. Jahrhundert v. Chr. entfaltete sich der Buddhismus, der rund 500 Jahre lang neben dem Hinduismus die maßgebliche Geistesströmung Indiens darstellte. Im 4. Jahrhundert v. Chr. entstand mit dem Maurya-Reich erstmals ein indisches Großreich, das unter Ashoka fast den gesamten Subkontinent beherrschte. Ashoka wandte sich nach zahlreichen Eroberungszügen dem Buddhismus zu, den er im eigenen Land und bis nach Sri Lanka, Südostasien und im Mittleren Osten zu verbreiten suchte. Im 3. Jahrhundert v. Chr. blühten die Prakrit-Literatur und die tamilische Sangam-Literatur im südlichen Indien auf. Während dieser Zeit herrschten im südlichen Indien die drei tamilischen Dynastien Chola, Pandya und Chera. Nach dem Tod von Ashoka zerfiel das Maurya-Reich allmählich erneut in zahllose Kleinstaaten, die erst im 4. Jahrhundert n. Chr. von den Gupta wieder zu einem Großreich in Nordindien geeint werden konnten, deren Reich im frühen 6. Jahrhundert auch infolge der Angriffe der Hunas unterging. Mit dem Buddhismus übte Indien einen wesentlichen kulturellen Einfluss auf den gesamten Bereich von Zentral- und Ostasien aus. Die Ausbreitung des Hinduismus und Buddhismus über Indochina bis in das heutige Indonesien prägte Geschichte und Kultur dieser Länder. Als letzter großer Förderer des Buddhismus in Indien gilt Harshavardhana, dessen Herrschaft im Nordindien des 7. Jahrhunderts den Übergang zum indischen Mittelalter markiert. EOS"
85,"Bos output: ['Die etymologischen Vorformen deutsch bedeuteten ursprünglich „zum Volk gehörig“, wobei Adjektiv zunächst Dialekte kontinental-westgermanischen Dialektkontinuums bezeichnete', ' Die Bezeichnung Deutschland seit 15', ' Jahrhundert verwendet, einzelnen Schriftstücken schon früher bezeugt; Frankfurter Übersetzung Goldenen Bulle heißt Dutschelant', ' Davor Wortfügungen Attributs deutsch Land belegt, beispielsweise unbestimmten Singularform „ein deutsches Land“ bestimmten Pluralform „die deutschen Länder“, nicht bestimmten Singularform „das deutsche Land“', ' Gemeint Länder Führungsschicht, politischen Herrschaftsanspruch Fränkischen, ab 10', ' Jahrhundert Heiligen Römischen Reiches bezog', ' Die Bezeichnung wurde staatliche Gebilde deutschen Sprach- Herrschaftsgebiet verwendet, Jahrhunderte große Veränderungen erlebte'] ### Input: Die etymologischen Vorformen von deutsch bedeuteten ursprünglich „zum Volk gehörig“, wobei das Adjektiv zunächst die Dialekte des kontinental-westgermanischen Dialektkontinuums bezeichnete. Die Bezeichnung Deutschland wird seit dem 15. Jahrhundert verwendet, ist in einzelnen Schriftstücken aber schon früher bezeugt; in der Frankfurter Übersetzung der Goldenen Bulle heißt es Dutschelant. Davor sind nur Wortfügungen des Attributs deutsch mit Land belegt, beispielsweise in der unbestimmten Singularform „ein deutsches Land“ oder der bestimmten Pluralform „die deutschen Länder“, nicht aber in der bestimmten Singularform „das deutsche Land“. Gemeint waren Länder mit einer Führungsschicht, die sich auf den politischen Herrschaftsanspruch des Fränkischen, ab dem 10. Jahrhundert des Heiligen Römischen Reiches bezog. Die Bezeichnung wurde damit vor allem für staatliche Gebilde im deutschen Sprach- oder Herrschaftsgebiet verwendet, das über Jahrhunderte große Veränderungen erlebte. EOS"
86,"Bos output: ['Einer ersten Laptop bezeichnenden Computer GRiD Compass 1100, britischen Industriedesigner Bill Moggridge 1979 entworfen, erst 1982 erstmals verkauft wurde', ' Dieser Laptop verfügte seinerzeit beachtliche 340 kB Hauptspeicher, aufgrund fehlenden IBM-Kompatibilität kommerziellen Erfolg'] ### Input: Einer der ersten als Laptop zu bezeichnenden Computer ist der GRiD Compass 1100, der vom britischen Industriedesigner Bill Moggridge 1979 entworfen, aber erst 1982 erstmals verkauft wurde. Dieser Laptop verfügte zwar über seinerzeit beachtliche 340 kB Hauptspeicher, hatte aber aufgrund der fehlenden IBM-Kompatibilität keinen kommerziellen Erfolg. EOS"
87,"Bos output: ['Indien immer verschiedenen Naturkatastrophen heimgesucht, besonders Überschwemmungen, Sommermonsuns extreme Niederschlagsmengen ganzen Land auftreten können', ' Während trockenen Jahreszeit Ausbleiben Monsunregenfälle kommt dagegen häufig Dürren', ' Auch Zyklone dadurch bedingte Flutwellen, Ostküste, kosten oft viele Menschenleben richten verheerende Schäden an', ' In Gebieten besteht erhöhte Erdbebengefahr, namentlich Himalaya, Nordoststaaten, Westgujarat Region Mumbai'] ### Input: Indien wird immer wieder von verschiedenen Naturkatastrophen heimgesucht, besonders Überschwemmungen, die während des Sommermonsuns durch extreme Niederschlagsmengen im ganzen Land auftreten können. Während der trockenen Jahreszeit oder bei Ausbleiben der Monsunregenfälle kommt es dagegen häufig zu Dürren. Auch Zyklone und dadurch bedingte Flutwellen, vor allem an der Ostküste, kosten oft viele Menschenleben und richten verheerende Schäden an. In einigen Gebieten besteht auch erhöhte Erdbebengefahr, namentlich im Himalaya, den Nordoststaaten, Westgujarat und der Region um Mumbai. EOS"
88,"Bos output: ['Das Bundeskriminalamt besteht seit 1951 nationale Informationssammelstelle einzelnen Polizeien Bundes Länder ausländische Strafverfolgungsbehörden ', ' Ferner nimmt spezielle Ermittlungen, Tätigkeiten Aufgaben bundesweitem Interesse wahr, z', ' B', ' Fällen schwerer organisierter Kriminalität Schleusungskriminalität', ' Seine rechtliche Stellung Art', ' 73 Nr', ' 10 GG BKA-Gesetz geregelt'] ### Input: Das Bundeskriminalamt besteht seit 1951 als nationale Informationssammelstelle zwischen den einzelnen Polizeien des Bundes und der Länder und für ausländische Strafverfolgungsbehörden . Ferner nimmt es spezielle Ermittlungen, Tätigkeiten und Aufgaben von bundesweitem Interesse wahr, z. B. bei Fällen von schwerer organisierter Kriminalität oder Schleusungskriminalität. Seine rechtliche Stellung ist in Art. 73 Nr. 10 GG und im BKA-Gesetz geregelt. EOS"
89,"Bos output: ['Das Humanpotenzial guter Bildung Innovationskultur gelten Voraussetzungen Erfolg deutschen Wirtschaft Wissensgesellschaft', ' Als weltweit konkurrenzfähigste Branchen deutschen Industrie gelten Automobil-, Nutzfahrzeug-, elektrotechnische, Maschinenbau- Chemieindustrie', ' Global bedeutend Luft- Raumfahrttechnik, Finanzbranche Finanzplatz Frankfurt Main Versicherungswirtschaft, insbesondere Rückversicherungen', ' Der Stellenwert Kultur- Kreativwirtschaft nimmt zu'] ### Input: Das Humanpotenzial mit guter Bildung und die Innovationskultur gelten als Voraussetzungen für den Erfolg der deutschen Wirtschaft und Wissensgesellschaft. Als weltweit konkurrenzfähigste Branchen der deutschen Industrie gelten die Automobil-, Nutzfahrzeug-, elektrotechnische, Maschinenbau- und Chemieindustrie. Global bedeutend sind auch die Luft- und Raumfahrttechnik, die Finanzbranche mit dem Finanzplatz Frankfurt am Main und die Versicherungswirtschaft, insbesondere die Rückversicherungen. Der Stellenwert der Kultur- und Kreativwirtschaft nimmt zu. EOS"
90,"Bos output: ['Der Relational Database Service beinhaltet virtuelle Datenbank, entweder MySQL, Microsoft SQL Server Oracle basiert', ' Während SimpleDB ausschließlich verbrauchten Speicher abgerechnet wird, setzten Tarife Amazon RDS Speicher Rechenleistung gewählten Instanz zusammen'] ### Input: Der Relational Database Service beinhaltet eine virtuelle Datenbank, die entweder auf MySQL, Microsoft SQL Server oder Oracle basiert. Während SimpleDB ausschließlich nach dem verbrauchten Speicher abgerechnet wird, setzten sich die Tarife von Amazon RDS aus Speicher und Rechenleistung der gewählten Instanz zusammen. EOS"
